concept,jaccard,centroid_drift,excl_site1,excl_site2,shared,centroid_nn_site1,centroid_nn_site2
security,0.8182,0.0676,"['adviser', 'apos', 'assurance', 'country', 'head', 'kiev', 'national', 'people', 'secretary', 'service']","['architecture', 'defense', 'europe', 'future', 'guarantee', 'include', 'international', 'military', 'new', 'order']","['european', 'president', 'russia', 'russian', 'ukraine', 'united']","['american', 'america', 'poland', 'germany', 'moscow', 'moscow', 'asia', 'british']","['germany', 'poland', 'america', 'american', 'asia', 'soviet', 'israel', 'british']"
peace,0.7812,0.0614,"['achieve', 'agreement', 'head', 'istanbul', 'kiev', 'negotiation', 'putin', 'russian', 'sign', 'talk']","['effort', 'europe', 'european', 'international', 'last', 'leader', 'party', 'point', 'security', 'state']","['donald', 'plan', 'president', 'russia', 'trump', 'ukraine', 'war']","['moscow', 'moscow', 'poland', 'germany', 'israel', 'soviet', 'romania', 'czech']","['germany', 'united', 'united', 'united', 'america', 'poland', 'israel', 'american']"
justice,0.9118,0.1593,"['bring', 'constantin', 'country', 'day', 'diplomacy', 'divorcee', 'energy', 'european', 'head', 'minister']","['conflict', 'ensure', 'fight', 'figure', 'human', 'international', 'moscow', 'peace', 'price', 'russian']","['crime', 'russia', 'ukraine']","['government', 'government', 'affairs', 'affairs', 'political', 'political', 'foreign', 'foreign']","['united', 'united', 'united', 'europe', 'europe', 'republic', 'republic', 'germany']"
war,0.6552,0.0574,"['great', 'military', 'moscow', 'peace', 'president', 'say', 'trump', 'vladimir', 'want']","['crime', 'european', 'international', 'need', 'political', 'scale', 'security', 'ukrainian', 'ukrainians', 'year']","['country', 'end', 'europe', 'putin', 'russia', 'russian', 'state', 'time', 'ukraine', 'world']","['america', 'germany', 'soviet', 'poland', 'united', 'united', 'united', 'israel']","['poland', 'germany', 'asia', 'soviet', 'sweden', 'russians', 'czech', 'romania']"
civilian,0.7419,0.0716,"['apos', 'army', 'criminal', 'drone', 'human', 'humanitarian', 'kill', 'locate', 'missile', 'place']","['crime', 'destroy', 'energy', 'international', 'need', 'operation', 'prisoner', 'protection', 'scale', 'ukrainian']","['attack', 'infrastructure', 'military', 'object', 'population', 'russia', 'russian', 'ukraine']","['force', 'force', 'forces', 'forces', 'enemy', 'enemy', 'armed', 'armed']","['soviet', 'foreign', 'foreign', 'government', 'government', 'european', 'european', 'country']"
russia,0.8529,0.0839,"['apos', 'donald', 'foreign', 'head', 'kiev', 'negotiation', 'peace', 'president', 'putin', 'say']","['action', 'aggression', 'continue', 'crime', 'destroy', 'europe', 'european', 'international', 'invasion', 'military']","['country', 'russian', 'ukraine', 'ukrainian', 'war']","['moscow', 'moscow', 'poland', 'israel', 'germany', 'soviet', 'america', 'republic']","['germany', 'soviet', 'poland', 'american', 'america', 'republic', 'republic', 'israel']"
ukraine,0.8857,0.1298,"['affairs', 'andrei', 'foreign', 'head', 'kiev', 'late', 'office', 'peace', 'president', 'putin']","['continue', 'corruption', 'country', 'europe', 'international', 'military', 'need', 'nuclear', 'people', 'scale']","['european', 'russia', 'russian', 'ukrainian']","['moscow', 'moscow', 'america', 'soviet', 'republic', 'republic', 'israel', 'poland']","['america', 'american', 'germany', 'soviet', 'countries', 'countries', 'republic', 'republic']"
putin,0.7812,0.0786,"['call', 'come', 'donald', 'kiev', 'late', 'meet', 'meeting', 'moscow', 'negotiation', 'peace']","['believe', 'china', 'democracy', 'european', 'federation', 'hold', 'incompatible', 'liberal', 'regime', 'security']","['president', 'russia', 'russian', 'trump', 'ukraine', 'ukrainian', 'vladimir']","['poland', 'obama', 'israel', 'united', 'united', 'united', 'america', 'jewish']","['republic', 'republic', 'europe', 'europe', 'russians', 'germany', 'poland', 'america']"
nato,0.7333,0.0282,"['article', 'attack', 'begin', 'conflict', 'country', 'european', 'kiev', 'lithuania', 'say', 'trump']","['aggression', 'ally', 'border', 'defense', 'finland', 'future', 'guarantee', 'membership', 'military', 'moldova']","['europe', 'russia', 'russian', 'security', 'states', 'ukraine', 'ukrainian', 'united']","['poland', 'germany', 'moscow', 'moscow', 'america', 'soviet', 'soviet', 'sweden']","['germany', 'poland', 'soviet', 'soviet', 'moscow', 'moscow', 'america', 'israel']"
