word,drift
worry,0.3166
judge,0.3084
online,0.3058
exhaustion,0.2996
tired,0.235
teach,0.2251
benefit,0.1863
withdraw,0.1806
trend,0.1659
pursue,0.165
victoria,0.1596
row,0.1526
unknown,0.1521
sick,0.1498
appropriate,0.1446
demographic,0.138
touch,0.1339
september,0.1331
weaken,0.129
succeed,0.1288
importance,0.1281
familiar,0.1253
arrangement,0.1249
hospital,0.1239
cold,0.1233
consultation,0.1225
coordinate,0.1225
ruler,0.1193
feeling,0.1161
determination,0.1131
bombing,0.111
breakthrough,0.1109
appeal,0.109
intermediary,0.1087
import,0.104
legislation,0.1024
honor,0.102
prohibit,0.0996
charter,0.0994
ruble,0.0994
affairs,0.0979
august,0.0972
attend,0.0941
circumstance,0.0936
guard,0.0925
strip,0.0924
ambition,0.0921
april,0.0919
search,0.0909
tomorrow,0.0907
consent,0.0903
vehicle,0.0899
brics,0.0883
door,0.088
shift,0.0871
psychological,0.086
english,0.0854
danger,0.0851
shelling,0.0851
faction,0.0848
sacrifice,0.0843
father,0.0827
thought,0.0807
hate,0.0803
criticism,0.0798
factor,0.0796
cooperate,0.0795
race,0.0795
priority,0.0788
understanding,0.0787
effect,0.0783
await,0.0764
martial,0.0762
temporary,0.0761
victor,0.0754
solidarity,0.0744
dependence,0.0744
earn,0.0741
blatant,0.0735
property,0.0732
underestimate,0.073
democratic,0.072
terrorist,0.0719
gesture,0.0716
christian,0.0707
production,0.0693
occasion,0.0692
provoke,0.0686
fighting,0.0679
recall,0.0676
militarization,0.0671
arena,0.0666
candidate,0.0663
purpose,0.0661
dear,0.0649
sort,0.0647
realistic,0.0636
intimidate,0.0632
concept,0.0632
blackout,0.0631
concerned,0.0629
hostage,0.0626
building,0.0623
react,0.0621
have,0.0621
invest,0.0621
defender,0.062
captivity,0.0618
leonid,0.0617
surround,0.0616
isolation,0.0613
von,0.0613
book,0.0605
fatal,0.0602
guise,0.0599
formation,0.0597
comply,0.0597
sale,0.0596
neutrality,0.0596
player,0.0594
allocate,0.0591
perform,0.0591
environment,0.0587
appreciate,0.0583
context,0.0582
watch,0.0572
wrong,0.0571
citizenship,0.0568
strict,0.0564
appoint,0.056
deployment,0.0559
formula,0.0553
cite,0.0551
moderate,0.0551
dare,0.054
spell,0.0538
january,0.0537
enforcement,0.0537
fuel,0.0537
confidence,0.0535
science,0.0534
petersburg,0.053
institute,0.0526
attract,0.0523
systematic,0.0523
raid,0.0521
treat,0.0521
pattern,0.052
existential,0.0515
extend,0.0515
winter,0.0512
strength,0.051
classic,0.0509
exceed,0.0502
theory,0.0502
donbas,0.0501
dead,0.0498
purchase,0.0496
background,0.0492
difficulty,0.049
osce,0.0489
size,0.0488
colonial,0.0485
dirty,0.0483
shell,0.0482
neighbor,0.048
criterion,0.0479
extent,0.0477
pipeline,0.0476
ministers,0.0472
stability,0.0469
transform,0.0468
grave,0.0468
catch,0.0467
page,0.0467
viktor,0.0464
popular,0.0461
commitment,0.046
connection,0.0459
strange,0.0459
intensify,0.0458
morning,0.0457
finish,0.0456
affair,0.0456
fair,0.0455
prevail,0.0455
available,0.0454
hybrid,0.0449
text,0.0448
vance,0.0447
escape,0.0445
perception,0.044
immediate,0.0439
june,0.0439
window,0.0437
contrary,0.0436
series,0.0434
baltic,0.0432
sure,0.0432
route,0.0431
anniversary,0.0429
hop,0.0427
withdrawal,0.0427
positive,0.0425
secure,0.0425
guy,0.0423
invite,0.0423
dark,0.0419
last,0.0417
corner,0.0416
negotiating,0.0414
identify,0.0409
neutral,0.0409
hint,0.0406
presidential,0.0405
format,0.0405
meaning,0.0403
parallel,0.04
heroic,0.0399
unlikely,0.0397
slovakia,0.0397
constant,0.0392
deep,0.0392
loyal,0.0392
homeland,0.0391
supporter,0.039
proud,0.0389
execute,0.0388
reporter,0.0388
lavrov,0.0387
construction,0.0386
board,0.0385
alternative,0.0383
compensation,0.0382
cabinet,0.0382
athlete,0.0382
rely,0.0381
youth,0.0379
aware,0.0378
assessment,0.0378
refer,0.0375
quality,0.0373
surprise,0.037
debate,0.0369
occupied,0.0368
imperialism,0.0367
continent,0.0367
tomahawk,0.0365
punish,0.0364
ten,0.0364
expose,0.0363
voter,0.0363
french,0.0362
wake,0.0361
thinking,0.0361
perceive,0.0361
grant,0.0361
sexual,0.036
interested,0.036
ethnic,0.036
yesterday,0.0357
technical,0.0356
mutual,0.0356
image,0.0355
korea,0.0355
near,0.0352
recognition,0.0351
style,0.035
finland,0.035
neo,0.0349
emphasize,0.0348
warrant,0.0343
brain,0.0342
sport,0.034
beijing,0.0339
situational,0.0338
rocket,0.0338
madame,0.0338
phenomenon,0.0336
sphere,0.0336
outlet,0.0335
strategy,0.0334
aggressor,0.0332
seek,0.0332
observe,0.0332
contradiction,0.033
notice,0.0329
primary,0.0328
analyst,0.0326
generation,0.0325
preservation,0.0325
unconditional,0.0324
element,0.0323
nazi,0.0322
nazis,0.032
deliver,0.032
storm,0.032
imagine,0.032
crush,0.0318
circle,0.0318
safe,0.0317
room,0.0317
capture,0.0317
spread,0.0317
count,0.0316
emerge,0.0313
equal,0.0313
prosecutor,0.0312
arrive,0.0311
opposite,0.0311
wish,0.0308
alaska,0.0308
parliamentary,0.0307
cheap,0.0305
absence,0.0305
zone,0.0303
lesson,0.0301
eliminate,0.0299
willingness,0.0298
age,0.0297
church,0.0296
trip,0.0296
welcome,0.0296
charge,0.0295
refugee,0.0294
scenario,0.0294
institution,0.0294
resist,0.0293
weak,0.0293
pain,0.0293
name,0.0292
roman,0.0292
exception,0.0292
aggressive,0.0291
armed,0.0291
camp,0.0291
georgian,0.029
winner,0.029
illegal,0.0289
scheme,0.0287
rhetoric,0.0287
estimate,0.0286
vote,0.0285
sovereignty,0.0281
deserve,0.0281
sit,0.0278
freeze,0.0276
trust,0.0276
telegram,0.0276
yanukovych,0.0276
adopt,0.0274
fate,0.0272
practice,0.0272
avoid,0.0272
establishment,0.0269
kharkiv,0.0268
shield,0.0267
health,0.0266
contact,0.0265
luhansk,0.0263
disregard,0.0263
arise,0.0263
secret,0.0262
care,0.0262
shadow,0.0262
norm,0.0261
car,0.0261
senior,0.0261
summer,0.026
seize,0.0259
airspace,0.0258
warn,0.0257
decade,0.0257
journey,0.0256
cease,0.0255
proof,0.0255
emotional,0.0254
combine,0.0251
scandal,0.025
operate,0.025
memorandum,0.025
wide,0.025
adapt,0.025
design,0.0249
reaction,0.0249
regular,0.0247
replace,0.0247
korean,0.0247
symbol,0.0246
compare,0.0245
budapest,0.0245
bridge,0.0245
veteran,0.0244
get,0.0244
square,0.0243
living,0.0243
mistake,0.0242
piece,0.0242
station,0.0241
fund,0.0241
stake,0.024
success,0.024
peacekeeper,0.0239
usual,0.0237
intervention,0.0236
warning,0.0236
back,0.0236
participate,0.0236
collect,0.0235
fill,0.0235
cessation,0.0235
master,0.0234
artillery,0.0233
honest,0.0233
collective,0.0232
sky,0.0232
assume,0.023
broad,0.0229
critical,0.0229
kid,0.0225
intellectual,0.0223
influence,0.0223
intention,0.0222
basic,0.0222
value,0.0218
sum,0.0218
impact,0.0217
table,0.0216
killing,0.0215
advance,0.0213
fleet,0.0212
scientific,0.0212
sovereign,0.0206
complain,0.0206
own,0.0205
eye,0.0204
paris,0.0204
early,0.0203
aircraft,0.0201
proposal,0.0201
legislative,0.0201
flow,0.0201
stage,0.0201
transport,0.0201
solve,0.02
revolution,0.0199
map,0.0199
escalation,0.0197
regard,0.0196
disaster,0.0196
flee,0.0195
implement,0.0194
flight,0.0194
easy,0.0193
listen,0.0193
silence,0.0193
dignity,0.0192
produce,0.0191
advantage,0.019
ideology,0.0189
half,0.0188
chief,0.0188
repeat,0.0188
propose,0.0187
british,0.0187
movement,0.0186
arrest,0.0186
involvement,0.0186
publication,0.0184
mission,0.0183
mark,0.0183
cross,0.0182
collapse,0.0182
test,0.0181
depend,0.0181
israel,0.0181
rich,0.018
suffering,0.0179
sell,0.0178
suppose,0.0177
suspect,0.0177
nabu,0.0176
bomb,0.0176
caucasus,0.0175
corrupt,0.0175
campaign,0.0175
nations,0.0173
convince,0.0173
hide,0.0172
maria,0.0172
physical,0.0172
brigade,0.0171
block,0.0171
daily,0.0171
option,0.0169
secretary,0.0168
shabunin,0.0168
responsibility,0.0167
encourage,0.0167
wonder,0.0167
responsible,0.0167
aspect,0.0167
trade,0.0165
reflect,0.0165
limit,0.0164
agenda,0.0164
switzerland,0.0164
final,0.0164
existence,0.0163
assassination,0.0163
development,0.0162
terrible,0.0161
beat,0.0161
conclusion,0.0161
andrei,0.0161
conclude,0.016
sector,0.016
joint,0.016
wound,0.0159
machine,0.0159
thank,0.0159
walk,0.0159
february,0.0158
intend,0.0157
maintain,0.0157
direction,0.0156
mind,0.0155
delay,0.0155
round,0.0155
staff,0.0154
pose,0.0154
organize,0.0153
urgent,0.0152
remove,0.0149
yermak,0.0149
argument,0.0149
video,0.0149
icc,0.0148
participation,0.0148
record,0.0147
membership,0.0147
relative,0.0146
remind,0.0146
restriction,0.0146
game,0.0145
accuse,0.0145
travel,0.0145
green,0.0144
ability,0.0144
choice,0.0144
part,0.0143
march,0.0143
god,0.0143
