concept,jaccard,centroid_drift,excl_site1,excl_site2,shared,centroid_nn_site1,centroid_nn_site2
security,0.7097,0.0345,"['clear', 'consideration', 'country', 'economic', 'government', 'hamas', 'interest', 'public', 'reality', 'regime']","['american', 'control', 'international', 'national', 'occupation', 'palestinian', 'palestinians', 'people', 'regional', 'right']","['arab', 'force', 'gaza', 'israel', 'israeli', 'military', 'political', 'state', 'war']","['iran', 'iraq', 'palestine', 'terrorism', 'democratic', 'democratic', 'jews', 'muslim']","['palestine', 'iraq', 'muslim', 'iran', 'jewish', 'democratic', 'democratic', 'jews']"
peace,0.8571,0.1148,"['committee', 'consist', 'iran', 'lebanon', 'logo', 'netanyahu', 'new', 'plan', 'president', 'qatar']","['achieve', 'administration', 'authority', 'board', 'conflict', 'international', 'israeli', 'national', 'occupation', 'palestinian']","['council', 'gaza', 'israel', 'palestinians', 'trump']","['iraq', 'syria', 'palestine', 'obama', 'egypt', 'hamas', 'hamas', 'america']","['democratic', 'democratic', 'palestine', 'government', 'government', 'citizens', 'hamas', 'hamas']"
justice,0.9189,0.0944,"['claim', 'consideration', 'court', 'determination', 'equality', 'establish', 'european', 'face', 'give', 'high']","['achieve', 'base', 'bin', 'end', 'force', 'international', 'law', 'logic', 'occupation', 'palestine']","['israel', 'security', 'system']","['reason', 'fact', 'regardless', 'regardless', 'concerned', 'matter', 'believe', 'reasons']","['government', 'government', 'freedom', 'citizens', 'country', 'democratic', 'democratic', 'war']"
war,0.7879,0.0464,"['arab', 'continue', 'country', 'hamas', 'iranian', 'iron', 'minister', 'public', 'regime', 'state']","['american', 'bank', 'crime', 'happen', 'international', 'occupation', 'palestinian', 'people', 'region', 'strip']","['end', 'gaza', 'iran', 'israel', 'israeli', 'military', 'political']","['iraq', 'palestine', 'palestine', 'syria', 'muslim', 'america', 'jews', 'jews']","['iraq', 'palestine', 'palestine', 'america', 'jewish', 'muslim', 'jews', 'jews']"
civilian,0.9189,0.1122,"['arab', 'cohesion', 'committee', 'control', 'demonstrate', 'gaza', 'hamas', 'hand', 'infrastructure', 'need']","['agreement', 'conflict', 'crime', 'destruction', 'human', 'humanitarian', 'international', 'israeli', 'military', 'netanyahu']","['force', 'israel', 'strip']","['iraq', 'terrorists', 'terrorism', 'palestinian', 'palestinian', 'iran', 'iran', 'palestine']","['forces', 'forces', 'terrorism', 'government', 'government', 'civil', 'army', 'army']"
israel,0.7097,0.1029,"['continue', 'country', 'minister', 'people', 'president', 'regime', 'threat', 'time', 'trump', 'world']","['american', 'arab', 'conflict', 'force', 'international', 'israeli', 'military', 'palestinian', 'palestinians', 'regional']","['gaza', 'hamas', 'iran', 'political', 'security', 'state', 'states', 'united', 'war']","['government', 'government', 'nation', 'nation', 'democratic', 'democratic', 'citizens', 'nations']","['iraq', 'palestine', 'palestine', 'syria', 'terrorism', 'muslim', 'iranian', 'iranian']"
hamas,0.8235,0.0708,"['disarm', 'hezbollah', 'iran', 'jihad', 'official', 'qatar', 'regime', 'senior', 'strip', 'terrorist']","['arab', 'bank', 'exist', 'force', 'israeli', 'military', 'movement', 'national', 'palestinian', 'political']","['control', 'gaza', 'islamic', 'israel', 'return', 'year']","['iraq', 'palestine', 'palestine', 'syria', 'palestinians', 'palestinians', 'muslim', 'iranian']","['iraq', 'palestine', 'palestine', 'muslim', 'palestinians', 'palestinians', 'terrorism', 'jews']"
idf,0.8571,0.0997,"['biden', 'campaign', 'gaza', 'government', 'israeli', 'land', 'military', 'operate', 'president', 'security']","['bank', 'collapse', 'decline', 'exist', 'flip', 'foreign', 'palestinian', 'past', 'posture', 'private']","['continue', 'force', 'hamas', 'israel', 'year']","['war', 'war', 'iraq', 'terrorism', 'terrorists', 'army', 'army', 'forces']","['country', 'citizens', 'war', 'war', 'conflict', 'conflict', 'people', 'people']"
netanyahu,0.7097,0.0698,"['absolute', 'biden', 'claim', 'donald', 'iran', 'issue', 'new', 'opposition', 'president', 'run']","['agreement', 'force', 'intervention', 'israeli', 'military', 'palestinian', 'phase', 'plan', 'political', 'prime']","['benjamin', 'gaza', 'government', 'international', 'israel', 'minister', 'state', 'trump', 'war']","['obama', 'democratic', 'democratic', 'united', 'united', 'politics', 'politics', 'election']","['iraq', 'democratic', 'democratic', 'peace', 'peace', 'civil', 'democracy', 'democracy']"
