label_a,label_b,count
WEST_ACTORS,INTL_ACTORS,314
WEST_ACTORS,RU_POLITICAL,265
WEST_ACTORS,WEST_ACTORS,260
WEST_ACTORS,UKR_POLITICAL,259
RU_POLITICAL,INTL_ACTORS,248
RU_POLITICAL,UKR_POLITICAL,176
RU_POLITICAL,WEST_ACTORS,153
UKR_POLITICAL,INTL_ACTORS,153
INTL_ACTORS,WEST_ACTORS,91
UKR_POLITICAL,WEST_ACTORS,82
UKR_POLITICAL,UKR_POLITICAL,77
RU_POLITICAL,RU_POLITICAL,71
UKR_POLITICAL,RU_POLITICAL,63
INTL_ACTORS,UKR_POLITICAL,42
INTL_ACTORS,RU_POLITICAL,5
INTL_ACTORS,INTL_ACTORS,5
