label_a,label_b,count
RU_POLITICAL,UKR_POLITICAL,89
UKR_POLITICAL,INTL_ACTORS,81
WEST_ACTORS,UKR_POLITICAL,69
RU_POLITICAL,INTL_ACTORS,63
WEST_ACTORS,WEST_ACTORS,49
RU_POLITICAL,WEST_ACTORS,44
WEST_ACTORS,INTL_ACTORS,44
UKR_POLITICAL,UKR_POLITICAL,42
WEST_ACTORS,RU_POLITICAL,23
INTL_ACTORS,WEST_ACTORS,21
INTL_ACTORS,UKR_POLITICAL,19
UKR_POLITICAL,WEST_ACTORS,15
RU_POLITICAL,RU_POLITICAL,9
UKR_POLITICAL,RU_POLITICAL,3
