entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
germany,WEST_ACTORS,trump,WEST_ACTORS,3,26,431,0.0066,0.2098
germany,WEST_ACTORS,kiev,UKR_POLITICAL,3,26,266,0.0104,0.9061
kharkiv,UKR_POLITICAL,un,INTL_ACTORS,3,6,956,0.0031,1.1759
poland,WEST_ACTORS,usa,WEST_ACTORS,3,19,388,0.0074,0.8139
germany,WEST_ACTORS,zelensky,UKR_POLITICAL,3,26,539,0.0053,-0.1128
france,WEST_ACTORS,russia,RU_POLITICAL,3,32,941,0.0031,-1.2163
poland,WEST_ACTORS,zelensky,UKR_POLITICAL,3,19,539,0.0054,0.3397
civilians,CIVILIANS,ukraine,UKR_POLITICAL,3,10,775,0.0038,0.7418
crimea,UKR_POLITICAL,usa,WEST_ACTORS,3,41,388,0.007,-0.2957
crimea,UKR_POLITICAL,zelensky,UKR_POLITICAL,3,41,539,0.0052,-0.7699
biden,WEST_ACTORS,usa,WEST_ACTORS,3,4,388,0.0077,3.0619
crimea,UKR_POLITICAL,putin,RU_POLITICAL,3,41,233,0.0111,0.44
russia,RU_POLITICAL,yermak,UKR_POLITICAL,3,941,19,0.0031,-0.4642
civilians,CIVILIANS,russia,RU_POLITICAL,3,10,941,0.0032,0.4618
azov,UKR_MILITARY,russia,RU_POLITICAL,3,3,941,0.0032,2.1988
france,WEST_ACTORS,putin,RU_POLITICAL,3,32,233,0.0115,0.7976
