entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
gaza,PAL_RESISTANCE,syria,INTL_ACTORS,7,1020,52,0.0066,-0.3013
gaza,PAL_RESISTANCE,idf,ISR_MILITARY,7,1020,40,0.0066,0.0772
knesset,ISR_POLITICAL,pa,PAL_POLITICAL,7,11,3001,0.0023,0.3828
civilians,CIVILIANS,palestine,PAL_POLITICAL,6,35,535,0.0106,0.9784
trump,INTL_ACTORS,turkey,INTL_ACTORS,6,286,38,0.0189,1.7633
icj,INTL_ACTORS,un,INTL_ACTORS,6,11,2207,0.0027,0.6038
lebanon,INTL_ACTORS,netanyahu,ISR_POLITICAL,6,61,235,0.0207,1.3638
hostages,CIVILIANS,israel,ISR_POLITICAL,6,16,1626,0.0037,0.504
iran,INTL_ACTORS,turkey,INTL_ACTORS,6,638,38,0.009,0.6058
gaza,PAL_RESISTANCE,settlers,SETTLERS,5,1020,44,0.0047,-0.5457
egypt,INTL_ACTORS,palestine,PAL_POLITICAL,5,75,535,0.0083,-0.3841
idf,ISR_MILITARY,settlers,SETTLERS,5,40,44,0.0633,4.1267
lebanon,INTL_ACTORS,palestine,PAL_POLITICAL,5,61,535,0.0085,-0.0861
hezbollah,INTL_ACTORS,usa,INTL_ACTORS,5,26,1041,0.0047,0.1839
gaza,PAL_RESISTANCE,hostages,CIVILIANS,5,1020,16,0.0048,0.9137
hamas,PAL_ORG,turkey,INTL_ACTORS,5,256,38,0.0173,1.6601
icj,INTL_ACTORS,israel,ISR_POLITICAL,5,11,1626,0.0031,0.7815
knesset,ISR_POLITICAL,un,INTL_ACTORS,5,11,2207,0.0023,0.3408
icj,INTL_ACTORS,pa,PAL_POLITICAL,5,11,3001,0.0017,-0.1026
saudi arabia,INTL_ACTORS,usa,INTL_ACTORS,5,31,1041,0.0047,-0.0699
hostages,CIVILIANS,pa,PAL_POLITICAL,5,16,3001,0.0017,-0.6432
hostages,CIVILIANS,un,INTL_ACTORS,4,16,2207,0.0018,-0.5217
palestine,PAL_POLITICAL,syria,INTL_ACTORS,4,535,52,0.0069,-0.1777
