entity_a,label_a,entity_b,label_b,count,freq_a,freq_b,jaccard,pmi
biden,INTL_ACTORS,iran,INTL_ACTORS,4,15,306,0.0126,1.0693
iran,INTL_ACTORS,palestine,PAL_POLITICAL,3,306,12,0.0095,0.9762
knesset,ISR_POLITICAL,pa,PAL_POLITICAL,3,15,588,0.005,-0.288
syria,INTL_ACTORS,turkey,INTL_ACTORS,3,63,38,0.0306,1.5934
hostages,CIVILIANS,trump,INTL_ACTORS,3,16,135,0.0203,1.7418
hezbollah,INTL_ACTORS,idf,ISR_MILITARY,3,41,51,0.0337,1.7886
egypt,INTL_ACTORS,syria,INTL_ACTORS,3,14,63,0.0405,3.0339
idf,ISR_MILITARY,lebanon,INTL_ACTORS,3,51,53,0.0297,1.4182
gaza,PAL_RESISTANCE,shin bet,ISR_MILITARY,3,222,9,0.0132,1.8542
biden,INTL_ACTORS,idf,ISR_MILITARY,3,15,51,0.0476,3.2393
biden,INTL_ACTORS,un,INTL_ACTORS,3,15,722,0.0041,-0.5842
biden,INTL_ACTORS,netanyahu,ISR_POLITICAL,3,15,56,0.0441,3.1043
saudi arabia,INTL_ACTORS,usa,INTL_ACTORS,3,29,268,0.0102,-0.1055
pa,PAL_POLITICAL,sinwar,PAL_ORG,3,588,7,0.0051,0.8116
