entity,Centrality_Pivot,Hub_Score,Authority_Score,Sentiment_Agency,Label
eu,0.5480968959428048,0.14466344592791977,0.2849787657903663,0.17913234547564857,WEST_ACTORS
russia,0.49966140258222175,0.34512596218270986,0.19672002958806128,-0.23648100878511155,RU_POLITICAL
ukraine,0.6182729594385137,0.2898740261374027,0.2875304010425635,0.013483880144177061,UKR_POLITICAL
nato,0.14336591542747382,0.042862539553694755,0.07692360119300294,0.026479935646057128,WEST_ACTORS
putin,1.1676397986874098e-20,0.025450226593556252,-0.0,0.0,RU_POLITICAL
civilians,0.08856871688823138,-0.0,0.054173306732006064,0.8749225437641144,CIVILIANS
usa,0.19816311396671626,0.15202379960471665,0.0996738956539998,0.08907408714294433,WEST_ACTORS
