entity,Centrality_Pivot,Hub_Score,Authority_Score,Sentiment_Agency,Label
eu,0.4518126724107847,0.17672438170862456,0.39403882738829016,-0.012436758388172497,WEST_ACTORS
kiev,0.3873496412252957,4.788555283115252e-19,0.14965274064358092,0.13208642601966858,UKR_POLITICAL
russia,0.696019213614599,3.204044775256971e-19,0.45630843196812887,0.2621384024620056,RU_POLITICAL
usa,0.33798372557413026,0.32727983361201035,3.28384634470718e-18,-0.09481098502874374,WEST_ACTORS
nato,6.250127007108214e-10,0.12399894616984125,-0.0,-0.39745834469795227,WEST_ACTORS
ukraine,0.21714009306898177,0.31453749021559535,-1.086609369996763e-18,-0.24325346946716309,UKR_POLITICAL
zelensky,6.250127007108214e-10,0.05745934829392842,-0.0,0.0,UKR_POLITICAL
